"Data Source","World Development Indicators",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.10195","11.63897","10.58496","12.16233","11.84006","","10.97108","11.48529","","","","","","","20.72298","21.67269","20.02153","25.09833","18.39152","","","","",
"Africa Eastern and Southern","AFE","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","14.60521","","","","","","","","","","","","","","","","","","","","","","","","","22.78235","","","17.566855","","","","","","","",
"Afghanistan","AFG","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","24.05744","20.85179","20.45141","","17.08569","","","","24.07936","19.56901","20.82823","24.16379","21.97058","","","","","","","","","","","","","","","","","","","","","","","","","","","9.03217","8.98621","12.74171","11.75683","12.41128","15.95379","","","","","",
"Africa Western and Central","AFW","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.601435","","19.437915","17.6369","18.49557","19.23991","16.1532","20.34201","21.37709","21.304925","","","","","","",
"Angola","AGO","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","5.582","5.83863","6.95546","","","","","","","","","","","","","","","","","","8.2836","8.70122","","","","","","","","","","","","","","",
"Albania","ALB","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.74165","","","","","","","","","","","","","","","","","","","21.92905","","21.15599","19.09854","18.85009","","","",
"Andorra","AND","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.88234","","4.96431","3.88254","6.6278","4.53195","","3.59818","3.86129","3.84056","","4.58887","6.07554","5.47481","5.8952","5.67515","5.64106","","",
"Arab World","ARB","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","24","","19.33086","23.87173","19.13876","30.72407","27.49602","20.04424","21.70391","22.8224","21.78625","","15.92735","18.63354","18.44237","34.95818","33.23076","48.66027","","47.7402","47.34859","","","","","","20.89081","","21.15821","17.14144","18.13501","17.13208","17.49278","16.18717","17.20481","16.24196","17.75414","17.7498","17.66036","18.85052","19.85806","19.43274","19.94066","20.23468","20.40408","20.5357","20.36758","22.08034","","","",
