,Female,Male
Generic programmes and qualifications,14,17
Education,34872,7791
Arts and humanities,34048,19544
"Social sciences, journalism and information",19067,9177
"Business, administration and law",97781,88053
"Natural sciences, mathematics and statistics",12302,11962
Information and Communication Technologies (ICTs),7144,21820
"Engineering, manufacturing and construction",10014,31793
"Agriculture, forestry, fisheries and veterinary",2079,1404
Health and welfare,70860,22602
Services,4846,2811
Field unspecified (Broad field level),84,26
